ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile,organization,project_name,AHH,CALLS_NOM,CYCLO_LOC,FANOUT_CALLS,LOC_NOM,NOC_NOP,NOM_NOC
352,2018-07-31T07:51:30+0200,2019-07-22T19:52:44+0200,356,osmlab/atlas-generator,18.4,5440.0,6135,6135,280.0,1085,280.0,1085,791.0,86499.0,24,768,356,2.18181818181818,1.0,0.188202247191011,1,3,1.0,4,osmlab,atlas-generator,0.03,1.5,0.18,0.33,6.18,2.5,2.48
120,2019-03-26T18:56:26+0100,2019-07-30T01:05:39+0200,125,ressec/hemajoo-foundation,50.9,1422.0,1422,1422,166.0,297,166.0,297,62183.5,86601.0,3,128,122,1.06666666666667,976.0,16.0,1,2,4.0,4,ressec,hemajoo-foundation,0.2,1.22,0.13,0.24,7.16,3.5,5.21
136,2019-04-21T22:40:53+0200,2019-07-29T20:30:35+0200,98,apache/incubator-tamaya,62.9,8550.0,8550,8550,268.0,569,1016.0,1535,2172.0,80525.0,18,162,88,1.19117647058824,0.8979591836734692,0.17346938775510198,2,3,2.0,4,apache,incubator-tamaya,0.02,4.69,0.19,0.29,6.96,9.5,6.07
344,2018-10-11T09:54:56+0200,2019-07-29T20:31:55+0200,291,SonarSource/sonarqube,89.5,298478.0,298478,298478,1102.0,3006,1492.0,3709,29708.5,983901.0,69,383,162,1.11337209302326,0.556701030927835,0.52233676975945,3,4,4.0,3,SonarSource,sonarqube,0.02,3.19,0.17,0.32,5.8,7.62,5.73
344,2017-09-09T14:38:05+0200,2019-07-29T00:24:09+0200,687,gurkenlabs/litiengine,23.3,32210.0,37932,37932,178.0,23894,178.0,23894,3223.5,1767600.0,190,1255,274,3.64825581395349,0.3988355167394471,0.547307132459971,1,2,3.0,2,gurkenlabs,litiengine,0.12,1.6,0.22,0.41,4.54,6.95,6.3
152,2019-02-27T07:00:05+0100,2019-07-29T19:35:04+0200,152,snuspl/incubator-nemo,39.2,29614.0,29614,29614,1302.5,3763,1405.0,3126,3324.0,85389.0,129,549,148,3.61184210526316,0.9736842105263158,0.111842105263158,1,4,3.0,4,snuspl,incubator-nemo,0.0,1.41,0.2,0.43,5.15,4.37,3.66
176,2019-02-01T17:08:08+0100,2019-07-29T18:01:32+0200,177,deeplyocean/oceans,71.6,419.0,419,419,103.0,354,103.0,354,,,0,179,173,1.01704545454545,0.977401129943503,0.0112994350282486,2,1,,4,deeplyocean,oceans,0.0,4.11,0.14,0.28,6.76,3.2,2.12
744,2018-07-12T19:19:02+0200,2019-07-30T04:17:47+0200,382,osmlab/atlas,68.3,74954.0,79991,79991,525.0,2910,524.5,2910,1648.0,86602.0,174,2488,378,3.34408602150538,0.989528795811518,0.463350785340314,2,4,2.0,4,osmlab,atlas,0.03,1.63,0.18,0.39,6.1850000000000005,2.995,6.42
608,2018-05-20T17:36:06+0200,2019-07-30T14:10:26+0200,435,webauthn4j/webauthn4j,82.9,7794.0,8320,8320,310.0,1244,1037.0,3460,1697.0,88678.0,61,1004,267,1.65131578947368,0.613793103448276,0.27816091954023,3,3,2.0,3,webauthn4j,webauthn4j,0.03,1.29,0.28,0.57,5.24,5.41,3.98
152,2018-10-12T15:19:47+0200,2019-07-26T16:12:47+0200,287,hmcts/sscs-bulk-scan,96.3,1471.0,1510,1510,203.0,452,201.0,452,1125.0,251526.0,63,1083,150,7125.0,0.522648083623693,0.470383275261324,4,2,2.0,3,hmcts,sscs-bulk-scan,0.0,3.57,0.165,0.15,7.390000000000001,2.11,1.5
160,2019-06-27T13:21:14+0200,2019-07-30T14:20:18+0200,33,alfio-event/alf.io,51.7,28339.5,28514,28514,238.0,677,459.0,570,1052.0,1726.0,5,167,26,1.04375,0.787878787878788,0.0,1,3,2.0,4,alfio-event,alf.io,0.0,2.06,0.21,0.17,3.81,5.115,3.34
168,2018-09-28T16:50:43+0200,2019-07-30T10:51:34+0200,304,hmcts/send-letter-service,95.1,2150.0,2806,2806,330.0,996,327.0,996,3198.5,439119.0,153,941,159,5.60119047619048,0.523026315789474,0.0,4,3,3.0,3,hmcts,send-letter-service,0.0,3.54,0.15,0.23,6.47,3.7,2.62
272,2018-01-27T09:02:51+0100,2019-07-30T14:52:19+0200,549,WojciechZankowski/iextrading4j-hist,87.8,2526.0,2526,2526,169.0,18395,542.0,1251,86384.0,143617.0,8,589,542,2.16544117647059,0.9872495446265942,0.0,3,2,4.0,4,WojciechZankowski,iextrading4j-hist,0.05,2.73,0.22,0.33,5.65,2.61,4.82
208,2018-05-26T11:07:02+0200,2019-07-15T14:44:00+0200,415,WojciechZankowski/iextrading4j-book,94.0,727.0,727,727,113.0,455,113.0,455,,,0,415,414,1.99519230769231,0.997590361445783,0.0,4,1,,4,WojciechZankowski,iextrading4j-book,0.0,5.01,0.15,0.25,7.0,2.0,7.5
120,2019-02-23T12:17:38+0100,2019-07-29T14:35:01+0200,156,romanutti/gephi-plugins,63.1,1336.0,1883,1883,229.0,422,229.0,422,11287.5,39893.0,5,211,69,1.7583333333333302,0.442307692307692,0.0,2,2,4.0,2,romanutti,gephi-plugins,0.14,2.74,0.06,0.33,15.92,4.14,3.41
184,2019-02-11T14:24:27+0100,2019-07-30T12:59:39+0200,168,Mastercard/oauth1-signer-java,83.6,499.0,499,499,195.0,765,596.0,1189,86459.0,172868.0,7,200,160,1.08695652173913,0.952380952380952,0.0,3,2,4.0,4,Mastercard,oauth1-signer-java,0.05,2.15,0.15,0.54,8.55,4.16,2.6
200,2018-09-21T18:53:53+0200,2019-07-30T11:10:59+0200,311,hmcts/ccd-data-store-api,94.1,18369.0,18829,18829,674.0,3000,647.0,3000,1470.5,530795.0,656,3503,214,17515.0,0.688102893890675,0.0,4,4,2.0,3,hmcts,ccd-data-store-api,0.05,2.51,0.17,0.28,5.95,2.48,9.94
200,2018-09-24T23:44:53+0200,2019-07-29T11:47:09+0200,307,hmcts/ccd-definition-store-api,86.8,10399.0,11924,11924,551.0,1269,547.0,1269,2071.0,511376.0,360,2342,204,11.71,0.664495114006515,0.0,3,4,2.0,3,hmcts,ccd-definition-store-api,0.01,2.77,0.16,0.3,6.01,5.69,4.18
120,2018-09-29T03:35:31+0200,2019-07-16T18:17:39+0200,290,hmcts/ccd-user-profile-api,92.4,1180.0,1180,1180,205.0,533,202.0,533,44750.0,251912.0,36,154,37,1.28333333333333,0.12758620689655198,0.0,4,2,4.0,1,hmcts,ccd-user-profile-api,0.0,2.61,0.16,0.29,7.08,2.06,2.03
928,2017-08-23T14:13:30+0200,2019-07-30T08:17:56+0200,705,WojciechZankowski/iextrading4j,92.9,10958.0,20476,20476,438.5,25919,627.0,52855,53964.0,1206194.0,203,1029,624,1.10883620689655,0.885106382978723,0.0,4,4,4.0,4,WojciechZankowski,iextrading4j,0.01,5.6,0.18,0.12,7.55,11.51,3.94
160,2019-06-01T07:33:08+0200,2019-07-06T07:11:14+0200,34,jinahya/jsonrpc-bind,82.4,665.5,905,905,123.0,681,230.5,693,64.5,104.0,2,190,30,1.1875,0.882352941176471,0.0,3,1,1.0,4,jinahya,jsonrpc-bind,0.0,1.435,0.265,0.46,4.78,3.0,0.88
64,2019-04-20T21:05:11+0200,2019-07-01T22:54:34+0200,72,Siouan/frontend-gradle-plugin,95.75,1344.0,1640,1640,205.0,607,210.0,913,2265.5,1218246.0,113,267,24,4.171875,0.33333333333333304,0.0,4,2,3.0,2,Siouan,frontend-gradle-plugin,0.21,3.26,0.17,0.14,5.66,7.33,2.77
64,2019-06-19T21:14:19+0200,2019-07-12T02:15:04+0200,22,newtonjose/cs-2019-01,100.0,1127.0,1127,1127,86.5,220,85.5,304,2262.0,8030.0,11,74,16,1.15625,0.7272727272727271,0.0,4,1,3.0,3,newtonjose,cs-2019-01,0.0,2.335,0.155,0.59,8.34,1.68,2.515
80,2019-03-28T12:33:34+0100,2019-07-25T09:33:22+0200,118,T-Systems-MMS/skoop-server,83.65,10854.5,10971,10971,407.0,730,407.0,730,19314.0,19314.0,4,273,52,3.4125,0.440677966101695,0.0,3,3,4.0,2,T-Systems-MMS,skoop-server,0.025,11.19,0.07,0.07,13.35,3.61,2.02
288,2019-03-08T16:24:50+0100,2019-07-27T12:49:50+0200,140,synyx/urlaubsverwaltung,67.2,21370.5,22280,22280,290.0,491,285.0,491,1442.5,271683.0,80,1045,87,3.62847222222222,0.621428571428571,0.0,2,3,2.0,3,synyx,urlaubsverwaltung,0.01,4.84,0.13,0.26,8.86,5.14,6.0
56,2019-04-30T23:49:43+0200,2019-07-05T13:20:10+0200,65,DoublesunRUS/ru.capralow.dt.unit.launcher,5.4,2643.0,2665,2665,369.0,1405,363.0,1405,987.5,2371.0,16,121,29,2.16071428571429,0.446153846153846,0.0,1,3,1.0,3,DoublesunRUS,ru.capralow.dt.unit.launcher,0.0,0.96,0.22,0.42,5.2,1.61,2.8
256,2018-09-28T15:03:19+0200,2019-07-30T08:59:07+0200,304,hmcts/bulk-scan-orchestrator,91.2,1595.5,2595,2595,270.0,880,256.0,880,3354.0,1751406.0,237,1725,176,6.73828125,0.578947368421053,0.0,4,3,3.0,3,hmcts,bulk-scan-orchestrator,0.0,2.63,0.16,0.3,6.58,2.97,2.26
80,2019-05-29T09:03:45+0200,2019-07-29T08:27:37+0200,60,Lumenol/computer-database,18.7,16828.0,16828,16828,162.0,350,161.5,350,3202.5,86480.0,16,216,57,2.7,0.95,0.0,1,2,3.0,4,Lumenol,computer-database,0.0,1.505,0.28,0.42,4.05,2.6,6.21
336,2018-07-31T07:51:13+0200,2019-07-17T19:58:57+0200,351,osmlab/atlas-checks,68.55,9015.5,9772,9772,301.0,959,301.0,959,1742.0,41859.0,21,939,350,2.79464285714286,0.9971509971509972,0.0,2,3,2.0,4,osmlab,atlas-checks,0.02,0.6,0.26,0.39,4.1,4.17,6.65
448,2017-12-19T15:59:22+0100,2019-07-29T02:50:41+0200,586,trellis-ldp/trellis,99.35,8929.5,10318,10318,665.0,2132,1610.0,7198,1485.0,168164.0,77,1147,177,2.56026785714286,0.302047781569966,0.0,4,4,2.0,2,trellis-ldp,trellis,0.02,1.9649999999999999,0.23,0.27,4.005,5.08,3.58
192,2019-04-06T14:00:31+0200,2019-07-26T08:25:50+0200,110,resilience4j/resilience4j,82.4,16473.5,16794,16794,999.5,1852,1019.0,2796,2589.0,152090.0,109,582,78,3.03125,0.7090909090909091,0.0,3,4,3.0,3,resilience4j,resilience4j,0.03,2.87,0.18,0.26,5.34,1.55,6.89
120,2019-01-28T14:02:09+0100,2019-07-22T17:02:32+0200,175,CJSCommonPlatform/cake-shop,58.0,4951.0,4993,4993,434.0,1133,429.0,1133,642.5,172445.0,44,358,65,2.9833333333333303,0.3714285714285711,0.0,2,4,1.0,2,CJSCommonPlatform,cake-shop,0.0,4.54,0.16,0.24,6.64,4.25,2.75
168,2018-01-19T11:55:33+0100,2019-07-17T13:26:26+0200,544,CJSCommonPlatform/stream-transformation-tool,84.7,2196.0,3085,3085,432.0,936,431.0,936,1513.0,523568.0,77,409,62,2.43452380952381,0.113970588235294,0.0,3,4,2.0,1,CJSCommonPlatform,stream-transformation-tool,0.0,5.645,0.15,0.29,7.51,4.43,3.37
24,2019-01-14T08:40:30+0100,2019-07-08T09:50:54+0200,175,amitnema/elasticsearch-elixir,45.2,1527.0,1559,1559,277.5,483,278.0,722,134506.0,606910.0,27,52,7,2.1666666666666696,0.04,0.0,1,3,4.0,1,amitnema,elasticsearch-elixir,0.0,1.22,0.25,0.29,3.4,1.36,4.73
120,2019-04-03T22:40:51+0200,2019-06-27T17:36:13+0200,84,JanMalch/kino,88.4,4677.0,4691,4691,204.5,617,202.0,617,1732.0,240649.0,60,562,54,4.68333333333333,0.6428571428571429,0.0,3,2,2.0,3,JanMalch,kino,0.03,2.08,0.18,0.41,6.16,3.67,4.34
112,2019-02-20T16:14:27+0100,2019-07-30T14:54:10+0200,159,hmcts/rpa-em-ccd-orchestrator,88.05,1256.5,1616,1616,224.0,706,221.0,706,4499.5,1183925.0,47,301,54,2.6875,0.339622641509434,0.0,3,2,3.0,2,hmcts,rpa-em-ccd-orchestrator,0.0,2.545,0.15,0.38,7.205,3.84,3.31
192,2018-10-31T12:22:28+0100,2019-07-22T16:00:33+0200,264,CJSCommonPlatform/event-store,75.45,7742.5,9701,9701,404.0,3000,401.0,3000,1346.5,253657.0,107,1169,128,6.08854166666667,0.484848484848485,0.0,2,3,2.0,3,CJSCommonPlatform,event-store,0.0,8.030000000000001,0.09,0.19,10.76,4.555,2.9
224,2019-02-01T14:54:09+0100,2019-07-17T10:03:18+0200,165,exasol/virtual-schema-common-java,88.0,4741.0,4748,4748,156.0,451,155.0,451,1579.0,249570.0,36,362,57,1.61607142857143,0.34545454545454496,0.0,3,2,2.0,2,exasol,virtual-schema-common-java,0.07,1.7149999999999999,0.27,0.48,4.51,8.23,5.46
176,2018-10-26T13:08:27+0200,2019-07-18T16:01:34+0200,265,CJSCommonPlatform/framework-generators,83.8,9742.0,10574,10574,547.0,1567,544.5,1567,993.0,101273.0,22,492,81,2.79545454545455,0.305660377358491,0.0,3,4,1.0,2,CJSCommonPlatform,framework-generators,0.0,9.61,0.09,0.19,11.84,4.89,3.885
64,2019-05-01T00:21:29+0200,2019-07-07T19:39:17+0200,67,eskaton/asn4j,50.9,18206.5,19221,19221,142.0,272,142.0,272,2167.5,95462.0,9,120,38,1875.0,0.567164179104478,0.0,1,1,2.0,3,eskaton,asn4j,0.11,1.73,0.21,0.37,6.24,9.35,2.92
296,2017-09-16T12:51:46+0200,2019-07-29T22:00:53+0200,681,VocabHunter/vocabhunter,89.6,7748.0,8371,8371,467.0,1247,464.0,1247,2259.0,699862.0,7,369,152,1.2466216216216202,0.223201174743025,0.0,4,4,3.0,2,VocabHunter,vocabhunter,0.0,1.3,0.25,0.45,4.14,5.72,4.03
224,2018-11-27T15:31:50+0100,2019-07-16T13:09:42+0200,230,molgenis/molgenis,63.15,92361.5,97427,97427,830.0,3000,1399.0,4799,2723.0,210115.0,191,1679,212,7.49553571428571,0.921739130434783,0.0,2,4,3.0,4,molgenis,molgenis,0.03,4.16,0.15,0.21,6.29,4.82,4.725
240,2017-08-15T15:24:29+0200,2019-07-12T10:18:04+0200,695,CJSCommonPlatform/jsonschema-pojo-generator,97.7,4380.0,4473,4473,137.0,999,136.5,999,2196.0,590652.0,18,856,81,3.56666666666667,0.116546762589928,0.0,4,1,3.0,1,CJSCommonPlatform,jsonschema-pojo-generator,0.0,7.44,0.09,0.21,10.76,6.7,2.74
176,2018-06-25T05:45:25+0200,2019-07-22T04:31:04+0200,391,KengoTODA/guava-helper-for-java-8,80.4,955.0,814,814,133.0,379,132.0,379,22.5,36.0,3,213,55,1.21022727272727,0.140664961636829,0.0,3,1,1.0,1,KengoTODA,guava-helper-for-java-8,0.0,2.64,0.22,0.56,4.52,6.33,1.78
200,2017-11-23T16:20:56+0100,2019-07-11T17:40:14+0200,595,CJSCommonPlatform/json-schema-catalog,88.0,1593.0,1694,1694,141.0,563,140.5,563,333.5,71910.0,23,372,52,1.86,0.0873949579831933,0.0,3,1,1.0,1,CJSCommonPlatform,json-schema-catalog,0.01,7.41,0.11,0.26,8.55,5.66,2.59
152,2017-08-14T12:41:45+0200,2019-07-11T17:17:00+0200,696,CJSCommonPlatform/generator-maven-plugin,79.1,1289.0,1394,1394,150.0,452,150.0,452,595.0,1101.0,5,211,37,1.38815789473684,0.0531609195402299,0.0,3,2,1.0,1,CJSCommonPlatform,generator-maven-plugin,0.05,4.05,0.14,0.32,7.18,2.69,2.37
336,2018-01-15T17:01:20+0100,2019-07-11T16:25:51+0200,541,CJSCommonPlatform/framework-api,57.8,2018.5,2428,2428,142.0,801,141.0,801,711.0,86262.0,23,539,96,1.6041666666666698,0.177449168207024,0.0,2,1,1.0,1,CJSCommonPlatform,framework-api,0.05,1.07,0.26,0.32,2.21,1.79,3.3
